ID,first,last,address,city,state,zip,classification,paymentmethod,salary,hourly,commission,routing,AccountingNum,phone,SSN,DOB,startDate,endDate,title,dept,Archived,Admin
752867,Ruth,Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,801-999-1384,574-11-5718,4/9/71,10/6/15,11/3/06,Employee,Low Level Design Department,1,0
163695,Beatrice,Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,801-372-9751,283-94-5582,11/23/82,08/23/14,None,Employee,Digital design Department,0,0
226423,Randall,Horton,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.60,57.05,31,13255163-4,104934-8350,801-542-4191,375-23-5263,12/17/77,10/14/04,05/13/14,Supervisor,Low Level Design Department,1,1
349833,Damian,Garrison,1646 In Street,San Francisco,CA,95787,2,2,99571.55,82.41,19,45550736-7,779184-5410,801-147-3736,567-74-8101,9/27/78,11/26/20,None,Employee,Low Level Design Department,0,0
531061,Alvin,Guerrero,248 Mauris St. Ap #748,Indianapolis,IN,92237,2,2,56430.96,38.42,27,16935557-6,994966-8363,801-802-6374,786-90-8095,1/24/83,03/7/05,None,Employee,Low Level Design Department,0,0
169927,Alexandra,Duke,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13,23609043-4,538878-8548,801-416-3703,537-82-5245,3/1/99,01/19/10,None,Employee,Low Level Design Department,0,0
454912,Sylvester,Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.20,32,5363288-2,339235-5453,801-316-6795,212-36-8204,10/7/95,02/22/16,None,Employee,Statistics Department,0,1
285767,Porter,Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,801-399-1407,271-35-6480,10/26/72,06/14/10,06/20/16,Employee,Statistics Department,1,0
674261,Scott,Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,801-671-6744,968-97-9865,8/25/98,04/3/05,None,Supervisor,Low Level Design Department,0,0
265154,Amir,Mcintosh,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27,8752077-3,866009-0500,801-662-4600,385-52-9399,5/12/85,06/4/13,None,Supervisor,Statistics Department,0,1
160769,Grant,Mccarthy,9846 Arcu. Road,Ketchikan,AK,99634,3,1,36025.38,79.99,11,7117844-7,288413-2164,801-704-2819,439-15-7772,2/13/73,03/11/07,None,Employee,Low Level Design Department,0,0
426824,Mira,Wolf,37224 Pharetra Ave,Savannah,GA,22329,1,2,45576.80,26.99,34,12666803-1,158217-3462,801-194-5481,484-47-9864,02/15/2081,02/26/2005,None,Employee,Low Level Design Department,0,0
502141,Brock,Sandoval,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,26.25,32,13977869-3,906688-1963,801-534-2996,956-15-4189,4/26/90,03/4/18,None,Supervisor,Statistics Department,0,0
934003,Kelsey,Saunders,9920 Aliquam Av. Ap #128,Salt Lake City,UT,97100,1,1,42548.72,31.24,18,37723944-K,769125-4564,801-872-2795,556-58-5928,9/9/94,06/4/10,None,Employee,Low Level Design Department,0,0
377013,Teagan,Goodwin,P.O. Box 317,Akron,OH,66603,3,2,69765.24,84.73,13,24639186-6,433898-4976,801-571-7521,431-61-2142,2/11/93,02/9/10,05/24/14,Employee,Statistics Department,1,1
